Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,162.46,-80.47,270.0,bottom
C2,22pF,C_0402_1005Metric,173.48,-81.23,90.0,bottom
C3,22pF,C_0402_1005Metric,172.005,-81.23,270.0,bottom
C4,1uF,C_0402_1005Metric,157.345,-76.25,90.0,bottom
C5,100nF,C_0402_1005Metric,159.25,-76.25,90.0,bottom
C6,100nF,C_0402_1005Metric,161.155,-76.25,90.0,bottom
C7,10uF,C_0402_1005Metric,177.34,-34.22,90.0,bottom
C8,1uF,C_0402_1005Metric,179.245,-34.22,90.0,bottom
C9,100nF,C_0402_1005Metric,181.15,-34.22,90.0,bottom
C10,100nF,C_0402_1005Metric,183.055,-34.22,90.0,bottom
C11,100nF,C_0402_1005Metric,184.96,-34.22,90.0,bottom
C12,100nF,C_0402_1005Metric,186.865,-34.22,90.0,bottom
C13,100nF,C_0402_1005Metric,188.77,-34.22,90.0,bottom
C14,100nF,C_0402_1005Metric,190.675,-34.22,90.0,bottom
C15,100nF,C_0402_1005Metric,192.58,-34.22,90.0,bottom
C16,1uF,C_0402_1005Metric,175.8575,-30.8675,90.0,bottom
C17,1uF,C_0402_1005Metric,173.28,-35.53,0.0,bottom
D1,1N4148W,D_SOD-123,48.77,-39.0,0.0,bottom
D2,1N4148W,D_SOD-123,69.5325,-40.9575,0.0,bottom
D3,1N4148W,D_SOD-123,88.68,-40.9575,0.0,bottom
D4,1N4148W,D_SOD-123,107.6325,-45.72,12.0,bottom
D5,1N4148W,D_SOD-123,126.17,-49.4,12.0,bottom
D6,1N4148W,D_SOD-123,145.33,-50.79,12.0,bottom
D7,1N4148W,D_SOD-123,161.925,-57.15,12.0,bottom
D8,1N4148W,D_SOD-123,191.2,-50.55,168.0,bottom
D9,1N4148W,D_SOD-123,209.55,-48.5775,168.0,bottom
D10,1N4148W,D_SOD-123,227.6475,-44.7675,168.0,bottom
D11,1N4148W,D_SOD-123,245.48,-40.01,168.0,bottom
D12,1N4148W,D_SOD-123,265.7475,-40.54,180.0,bottom
D13,1N4148W,D_SOD-123,283.845,-41.36,180.0,bottom
D14,1N4148W,D_SOD-123,312.42,-41.41,180.0,bottom
D15,1N4148W,D_SOD-123,340.62,-41.46,180.0,bottom
D16,1N4148W,D_SOD-123,47.43,-42.5,0.0,bottom
D17,1N4148W,D_SOD-123,74.295,-43.815,0.0,bottom
D18,1N4148W,D_SOD-123,98.1075,-46.6725,12.0,bottom
D19,1N4148W,D_SOD-123,116.53,-50.4825,12.0,bottom
D20,1N4148W,D_SOD-123,138.08,-51.32,12.0,bottom
D21,1N4148W,D_SOD-123,153.3525,-58.1025,12.0,bottom
D22,1N4148W,D_SOD-123,181.82,-57.1,168.0,bottom
D23,1N4148W,D_SOD-123,200.52,-53.34,168.0,bottom
D24,1N4148W,D_SOD-123,221.9325,-48.5775,168.0,bottom
